Model,RMSE,R2,MAE,MSE
Linear Regression,5796.6105813452405,0.7835686391193213,4304.151073232,33600694.23176361
Random Forest,4554.952186628962,0.8663590405981811,2565.2657327526786,20747589.422475968
lasso,5796.408484849013,0.7835837304409152,4303.837860066263,33598351.323229626
ridge,5796.241621872071,0.7835961903437361,4303.788587557587,33596416.93912218
